geoid,Value
10001,50400
10001,20700
10001,29700
10003,16900
10003,2000
10003,14900
10005,96700
10005,52700
10005,44000
13001,1700
13003,3300
13007,8500
13015,1050
13017,1850
13019,4650
13023,2850
13025,300
13033,11600
13037,9200
13055,950
13061,2300
13065,400
13069,4900
13071,1700
13087,13200
13095,3200
13107,2100
13109,1150
13129,3500
13131,6700
13139,250
13147,850
13155,6300
13163,7900
13165,3500
13167,1200
13173,1200
13193,2900
13197,900
13201,13200
13205,15600
13229,5800
13251,7200
13253,9900
13267,2950
13273,10700
13275,2400
13277,1700
13279,2300
13287,2000
13295,1750
13299,2350
13305,3650
13315,1300
13321,4900
17001,155000
17005,69900
17007,66600
17009,42600
17011,259500
17013,20900
17015,145600
17017,99100
17019,281000
17021,203500
17023,90700
17025,79800
17027,82600
17029,121900
17033,84400
17035,67300
17037,221000
17039,106500
17041,116300
17045,169700
17049,87400
17051,109800
17053,143200
17055,38600
17057,129000
17059,68900
17061,115400
17063,104800
17067,165000
17071,96300
17073,228000
17075,339500
17079,101500
17081,47600
17083,64000
17085,93400
17089,74300
17091,185800
17095,160400
17097,7700
17099,286000
17101,74800
17103,256000
17105,297000
17107,194500
17109,150500
17111,91000
17113,317000
17115,153800
17117,185800
17119,112100
17121,76700
17123,98800
17125,132300
17127,23800
17129,80000
17131,138000
17133,49200
17135,162000
17137,144100
17139,88200
17141,234000
17143,106100
17145,48000
17147,139000
17149,171100
17151,7400
17153,18500
17155,35300
17157,57500
17159,76000
17161,67100
17163,83800
17165,44300
17167,228000
17169,70100
17171,51100
17173,179500
17175,90400
17177,168600
17179,147900
17183,224500
17185,42800
17187,157100
17189,95600
17193,82800
17195,229500
17197,97100
17199,16100
17201,80000
17203,127700
18001,57000
18003,70000
18005,59000
18007,127000
18009,28500
18011,94500
18015,93500
18017,98500
18019,15300
18021,59500
18023,110500
18027,86000
18029,7700
18031,78400
18035,66500
18037,57900
18039,43000
18041,32500
18043,3100
18045,91500
18047,37000
18049,95000
18051,100500
18053,65900
18057,53700
18059,64700
18061,24500
18063,68800
18065,69000
18067,60800
18069,65000
18071,61000
18073,147000
18075,68500
18077,16600
18079,38000
18081,49000
18083,110000
18085,103000
18087,41000
18089,54500
18091,114000
18093,18500
18095,85100
18097,5900
18099,87000
18101,15600
18103,66000
18105,5700
18107,115000
18109,41500
18111,110000
18113,61000
18115,2400
18117,23100
18119,19500
18121,60000
18127,59000
18129,82500
18131,103000
18133,69500
18135,96000
18137,46000
18139,105500
18141,66000
18143,11500
18145,86500
18147,53500
18149,54500
18153,67500
18155,5500
18157,94000
18159,69200
18161,31500
18163,26800
18165,40000
18167,43000
18169,75000
18171,89000
18173,38700
18175,48000
18177,64500
18179,76000
18181,143000
18183,58000
19001,107400
19003,72400
19005,82400
19007,33400
19007,1210
19009,108100
19011,190100
19013,143400
19015,161100
19017,119700
19019,187200
19021,159800
19023,153600
19025,174100
19027,183900
19029,133900
19031,154400
19033,160400
19035,147000
19037,141300
19039,37600
19041,147400
19041,7600
19043,146700
19045,187800
19047,214500
19049,133500
19051,48100
19051,1310
19053,35300
19055,188200
19057,69500
19059,91700
19061,137600
19063,120300
19065,178500
19067,135300
19069,194500
19071,111800
19073,170700
19075,159000
19077,114400
19079,191700
19081,187000
19081,1150
19083,183000
19085,175000
19087,78000
19089,119700
19091,133700
19093,123900
19095,119700
19097,113200
19099,168500
19101,73100
19103,108400
19105,144600
19107,116100
19109,312500
19111,73800
19113,148200
19115,85100
19117,33000
19117,900
19119,156400
19121,68100
19123,131300
19125,76800
19127,147700
19127,5230
19131,146400
19133,175300
19135,900
19137,93000
19139,88100
19141,153700
19143,122000
19145,108200
19147,173100
19149,200500
19151,181100
19153,78500
19155,239500
19157,142300
19159,51900
19161,163100
19163,107500
19165,164000
19167,238000
19169,161100
19169,1910
19171,166600
19177,47800
19177,250
19179,56200
19181,63200
19183,116000
19185,62500
19187,206000
19189,124100
19191,158300
19193,217000
19195,109600
19197,176900
20001,31390
20003,41840
20005,57370
20011,12300
20013,115220
20015,60980
20019,2450
20021,50080
20023,44700
20029,22300
20029,11200
20029,11100
20031,26380
20033,1450
20039,85260
20039,6360
20039,78900
20041,9920
20045,24360
20047,67100
20059,29670
20061,9450
20063,68180
20063,9980
20063,58200
20067,34410
20073,6360
20075,7850
20077,1740
20079,57700
20079,18700
20079,39000
20083,10980
20083,9450
20083,1530
20085,33680
20087,40140
20095,13070
20095,9110
20095,3960
20099,39600
20101,10210
20101,5590
20101,4620
20111,23300
20113,37700
20113,16700
20113,21000
20115,43250
20117,101760
20119,75660
20119,74600
20119,1060
20121,17800
20125,34130
20127,17200
20129,22950
20131,102880
20133,32990
20135,4450
20135,1270
20135,3180
20139,35800
20143,6000
20143,2640
20143,3360
20151,67600
20153,64920
20157,76700
20161,9980
20169,6230
20171,35600
20171,19500
20171,16100
20177,33700
20179,91900
20181,120600
20187,48400
20187,39000
20187,9400
20191,40370
20191,4370
20191,36000
20193,168900
20199,50500
20205,42470
21001,6090
21003,4600
21007,29700
21009,17200
21011,1670
21015,2020
21017,3180
21021,3070
21023,760
21027,21000
21029,1970
21031,15500
21033,32300
21037,490
21039,23300
21041,1260
21043,710
21045,7350
21047,75600
21049,2270
21053,790
21055,15000
21057,2100
21059,63200
21061,2210
21065,1020
21067,2700
21069,3390
21075,23600
21079,1050
21081,520
21085,11300
21087,6050
21091,8900
21093,29700
21099,4460
21101,75000
21103,6390
21105,41900
21113,810
21121,350
21135,1220
21137,8070
21139,12300
21141,54900
21149,41800
21151,1470
21155,12000
21161,7150
21163,17800
21167,5700
21171,4440
21179,18200
21183,31100
21185,2750
21187,1240
21191,580
21199,9230
21205,850
21207,3050
21209,2740
21211,17400
21213,38200
21215,2440
21217,10700
21219,44500
21221,23300
21223,1360
21225,79000
21227,32300
21229,8200
21231,5580
21233,40900
21235,370
21239,1700
22009,8000
22025,20800
22029,15000
22035,28400
22041,65300
22043,1800
22065,30400
22067,54400
22069,9400
22077,12400
22079,9000
22083,35900
22097,5500
22107,37200
22123,18900
24003,3700
24005,19500
24009,2800
24011,31300
24013,25600
24019,19900
24021,25500
24025,18200
24027,4900
24029,36900
24031,8800
24035,44400
24037,6400
24039,12500
24043,7500
24045,20700
24047,33200
26005,60000
26007,3900
26009,1200
26015,35000
26019,1100
26023,79000
26025,81000
26027,81000
26029,2100
26031,1100
26037,53000
26041,2000
26045,57000
26049,29000
26051,7000
26055,5900
26057,77000
26059,68000
26063,85000
26065,48000
26067,66000
26069,3500
26073,32000
26075,54000
26077,53000
26081,34000
26085,1000
26087,28000
26089,2000
26091,95000
26093,18000
26099,9000
26101,1500
26105,13200
26107,22000
26109,5500
26111,21000
26113,10700
26115,60000
26117,55000
26119,1200
26121,9900
26123,17700
26125,2000
26127,12200
26129,7800
26139,32000
26141,5500
26145,88000
26147,22000
26149,75000
26151,86000
26155,54000
26157,75000
26161,41000
26163,1000
26165,4500
27003,7410
27009,48100
27011,90800
27013,190100
27015,150800
27017,450
27019,57300
27023,143800
27025,24400
27027,116300
27027,530
27033,180200
27035,8450
27035,1850
27037,86400
27039,115500
27041,56300
27043,210500
27045,165700
27047,191500
27049,146500
27051,117900
27053,13100
27053,600
27055,50500
27057,6530
27059,33300
27059,420
27063,184300
27067,154300
27067,6950
27073,169000
27079,91600
27079,2680
27081,113500
27083,179600
27085,111900
27087,36200
27087,470
27089,33700
27091,222000
27093,112800
27095,19300
27095,2400
27097,83900
27097,18200
27099,195800
27101,181800
27103,107300
27105,202500
27107,85500
27109,115400
27111,147700
27111,13800
27113,11300
27115,13300
27117,91400
27119,66800
27121,99200
27125,2650
27127,229000
27129,270500
27131,83100
27133,136700
27135,7300
27137,200
27139,34400
27141,27400
27143,147900
27145,159800
27145,56500
27147,108500
27149,126200
27149,20300
27151,173400
27153,65300
27155,130400
27157,77100
27159,17800
27161,109400
27161,1380
27163,17900
27163,620
27165,126200
27167,100200
27169,61100
27169,17700
27171,73600
27173,181100
28003,2000
28009,2900
28011,22500
28013,3200
28015,5600
28017,1100
28027,29800
28033,6800
28043,1900
28049,5500
28051,18100
28053,24000
28055,12300
28057,800
28081,2600
28083,55000
28087,8900
28093,2000
28095,4800
28097,450
28103,23500
28107,6700
28119,11100
28125,29200
28133,26700
28135,26100
28137,3400
28143,21200
28149,4400
28151,58000
28155,2100
28163,38300
29001,15700
29007,92800
29009,8900
29011,53400
29017,11100
29019,19500
