geoid,rate
01001,20396
01003,74104
01005,9222
01007,7027
01009,20816
01011,3683
01013,8056
01015,45154
01017,13787
01019,11278
01021,16237
01023,5575
01025,9622
01027,5419
01029,5776
01031,19160
01033,22204
01035,5168
01037,4450
01039,14949
01041,5383
01043,31287
01045,19018
01047,16413
01049,25013
01051,28651
01053,13659
01055,39899
01057,7037
01059,11980
01061,10754
01063,3201
01065,5927
01067,6894
01069,39197
01071,20431
01073,260929
01075,6138
01077,38612
01079,13537
01081,57171
01083,32213
01085,4282
01087,8009
01089,137767
01091,8281
01093,12714
01095,34261
01097,154188
01099,8406
01101,89532
01103,46235
01105,3450
01107,7644
01109,12786
01111,8915
01113,22241
01115,31979
01117,75534
01119,4815
01121,31424
01123,16323
01125,69128
01127,25602
01129,6133
01131,3843
01133,9406
02013,690
02016,1138
02020,105175
02050,4488
02060,377
02068,681
02070,1349
02090,35582
02100,1176
02105,892
02110,12114
02122,21485
02130,5267
02150,4577
02158,1683
02164,491
02170,31098
02180,2925
02185,1962
02188,1903
02195,1284
02198,2268
02220,3472
02230,406
02240,2117
02261,3010
02275,1127
02282,250
02290,1982
04001,19272
04003,48825
04005,46619
04007,20909
04009,10959
04011,3219
04012,9365
04013,1442518
04015,80832
04017,34129
04019,389658
04021,127599
04023,15359
04025,92310
04027,70639
05001,7743
05003,8327
05005,18164
05007,85670
05009,14961
05011,4598
05013,2125
05015,10977
05017,4513
05019,8681
05021,6611
05023,10157
05025,3334
05027,9597
05029,8362
05031,38724
05033,23649
05035,18348
05037,6918
05039,3248
05041,5272
05043,7314
05045,43204
05047,6784
05049,5300
05051,40290
05053,6859
05055,16682
05057,7823
05059,12136
05061,5049
05063,14238
05065,5549
05067,6339
05069,28119
05071,10111
05073,2830
05075,6696
05077,3605
05079,4040
05081,5251
05083,8609
05085,25909
05087,6338
05089,6701
05091,16960
05093,17141
05095,3364
05097,3892
05099,3472
05101,3310
05103,10552
05105,3847
05107,8135
05109,4355
05111,9286
05113,7911
05115,22645
05117,3826
05119,154240
05121,7335
05123,9430
05125,42299
05127,4055
05129,3172
05131,49579
05133,6075
05135,7108
05137,5142
05139,16536
05141,6879
05143,81722
05145,29404
05147,2911
05149,7687
06001,558907
06003,358
06005,13925
06007,85318
06009,18060
06011,6966
06013,384646
06015,9420
06017,67086
06019,296305
06021,9497
06023,53036
06025,46452
06027,7957
06029,259700
06031,41554
06033,26993
06035,9707
06037,3263069
06039,43159
06041,103670
06043,7345
06045,34017
06047,77692
06049,3745
06051,4906
06053,125402
06055,49494
06057,40993
06059,1009353
06061,135456
06063,8217
06065,699232
06067,522596
06069,17198
06071,614325
06073,1094157
06075,353287
06077,219073
06079,103576
06081,259711
06083,142713
06085,621463
06087,94802
06089,69375
06091,1252
06093,19133
06095,143612
06097,187782
06099,169196
06101,31917
06103,23704
06105,5484
06107,133570
06109,22133
06111,268969
06113,71997
06115,25139
08001,156628
08003,5932
08005,229601
08007,5334
08009,1568
08011,1635
08013,122516
08014,23531
08015,7756
08017,743
08019,4231
08021,2948
08023,1457
08025,1169
08027,1996
08029,12058
08031,275795
08033,706
08035,111113
08037,17840
08039,8417
08041,245287
08043,16342
08045,20622
08047,2576
08049,5250
08051,6287
08053,397
08055,3024
08057,616
08059,222892
08061,583
08063,3003
08065,3025
08067,21513
08069,125138
08071,5826
08073,1677
08075,7966
08077,59215
08079,368
08081,4986
08083,10417
08085,16768
08087,10421
08089,7454
08091,1980
08093,7319
08095,1711
08097,7570
08099,4856
08101,62888
08103,2482
08105,4617
08107,9431
08109,2598
08111,282
08113,3310
08115,951
08117,10143
08119,9581
08121,1963
08123,94294
08125,3865
09001,334320
09003,346362
09005,74518
09007,66117
09009,326028
09011,106495
09013,54467
09015,44276
10001,60571
10003,202268
10005,81183
11001,273390
12001,96703
12003,8205
12005,67922
12007,8770
12009,222791
12011,670284
12013,4784
12015,71856
12017,61012
12019,69053
12021,129888
12023,23708
12027,11238
12029,6051
