geoid,rate
01001,15.8
01003,10.9
01005,20.2
01007,13.9
01009,15.3
01011,16.3
01013,18.5
01015,18.6
01017,16.8
01019,21.1
01021,15.8
01023,22.9
01025,12.7
01027,15.1
01029,18.4
01031,15.2
01033,18
01035,23.5
01037,18.6
01039,18.6
01041,17.5
01043,13.2
01045,17.9
01047,19.8
01049,14.1
01051,16.2
01053,18.4
01055,19.4
01057,24
01059,16.2
01061,18.7
01063,26.7
01065,19.6
01067,19.4
01069,16.2
01071,15.2
01073,13.5
01075,19.1
01077,13.4
01079,19.7
01081,10.3
01083,12.4
01085,19.9
01087,15.9
01089,10.5
01091,22.4
01093,23.1
01095,15.5
01097,13.7
01099,12.9
01101,15
01103,14
01105,26.4
01107,22.8
01109,11.6
01111,13.7
01113,17.1
01115,16.1
01117,9.2
01119,19.2
01121,18.3
01123,15.6
01125,10
01127,24.1
01129,22.3
01131,17.3
01133,24.9
02013,6.2
02016,6.6
02020,9.3
02050,8.9
02060,10.9
02068,7.6
02070,12.1
02090,9.9
02100,12.3
02105,13.5
02110,8.7
02122,12.3
02130,11.3
02150,12
02158,11.1
02164,11.9
02170,11
02180,11.2
02185,9
02188,9.2
02195,12.7
02198,15.3
02220,9.1
02230,4.1
02240,13.6
02261,9.4
02275,13.8
02282,5.5
02290,14.8
04001,13.7
04003,14.4
04005,9.7
04007,18.9
04009,11.3
04011,11.1
04012,16.9
04013,8.5
04015,17.6
04017,16.8
04019,12.1
04021,12.3
04023,8.4
04025,16
04027,8.3
05001,20.2
05003,20.9
05005,19.9
05007,7.6
05009,16.4
05011,22.1
05013,24.3
05015,15.4
05017,19.9
05019,15.6
05021,20.4
05023,15
05025,17.2
05027,14.7
05029,18.2
05031,13.4
05033,16.6
05035,15.8
05037,20
05039,22.5
05041,18.5
05043,19.5
05045,10.2
05047,18.3
05049,18.1
05051,16.9
05053,15.4
05055,19.6
05057,18.6
05059,22.2
05061,16.7
05063,18.1
05065,20.7
05067,21.2
05069,17.3
05071,15.8
05073,23.3
05075,17.6
05077,23.6
05079,18.7
05081,19.1
05083,18.2
05085,13.4
05087,15.1
05089,21.9
05091,16.3
05093,20.8
05095,21.9
05097,28.4
05099,19.9
05101,19.9
05103,19.3
05105,19.9
05107,23.7
05109,23
05111,21.3
05113,25.1
05115,15.1
05117,18.3
05119,12
05121,19.9
05123,20
05125,15.5
05127,15.4
05129,21.1
05131,17.2
05133,11.6
05135,20
05137,23.1
05139,18.6
05141,20.6
05143,8.7
05145,14.6
05147,23.9
05149,20.5
06001,7.3
06003,20.4
06005,13.5
06007,14.5
06009,16.5
06011,11.5
06013,8.5
06015,21.9
06017,10
06019,11.3
06021,14.6
06023,15.2
06025,10.9
06027,9.2
06029,10.6
06031,10.6
06033,19.2
06035,16.9
06037,7.2
06039,11.9
06041,6.2
06043,13.7
06045,14.6
06047,15.1
06049,19.4
06051,3.8
06053,6.8
06055,7.9
06057,11.1
06059,5.8
06061,7.8
06063,19.7
06065,9.3
06067,10.8
06069,6.4
06071,9.5
06073,7.1
06075,6.8
06077,10.6
06079,7.5
06081,5.4
06083,7
06085,5.2
06087,7.4
06089,16.1
06091,18.9
06093,18.8
06095,9.7
06097,9.3
06099,11.7
06101,11.2
06103,18.8
06105,20.3
06107,10.6
06109,17
06111,7.7
06113,7.7
06115,18
08001,9.3
08003,16
08005,7.8
08007,12
08009,18
08011,29.9
08013,6.8
08014,6.2
08015,10.2
08017,15.1
08019,7.6
08021,18.9
08023,29.5
08025,21.7
08027,12.3
08029,15
