geoid,rate
01001,13.9
01003,16.9
01005,1.2
01007,28.3
01009,10
01011,47.1
01013,4.9
01015,13
01017,33
01019,3.8
01021,7.8
01023,9.5
01025,0.8
01027,0
01029,0
01031,9.7
01033,11.9
01035,22.9
01037,38.6
01039,2.2
01041,4.6
01043,7.3
01045,10.9
01047,7.5
01049,8.8
01051,5.8
01053,11.6
01055,4
01057,0
01059,13
01061,0
01063,0
01065,0
01067,19.6
01069,5.3
01071,13.5
01073,13.3
01075,9.4
01077,10.3
01079,0
01081,24.4
01083,6
01085,0
01087,20.7
01089,12
01091,34.4
01093,3.3
01095,6.5
01097,14
01099,0
01101,21.2
01103,9.9
01105,16.7
01107,31.2
01109,33.1
01111,0.2
01113,8.9
01115,10.1
01117,11.3
01119,87.8
01121,22.1
01123,10.4
01125,24.1
01127,9.7
01129,4.9
01131,
01133,1
02013,12.3
02016,19.4
02020,10.3
02050,4.9
02060,10.5
02068,77
02070,1.2
02090,13.2
02100,1.1
02105,11.4
02110,10.5
02122,25
02130,10.8
02150,8.2
02158,15.9
02164,64.2
02170,8
02180,5.9
02185,9.3
02188,24.7
02195,22.4
02198,8.9
02220,21.7
02230,3.1
02240,6.1
02261,19.2
02275,27.7
02282,15
02290,19
04001,14.5
04003,8.9
04005,14.5
04007,4.7
04009,13.4
04011,14.8
04012,13.4
04013,9
04015,4.5
04017,12.7
04019,9.4
04021,16.9
04023,5.8
04025,6.1
04027,10.1
05001,22.2
05003,0.2
05005,13.3
05007,15.5
05009,5.2
05011,1.8
05013,0
05015,13.2
05017,23.2
05019,17.5
05021,0
05023,11.2
05025,0
05027,24.4
05029,6.5
05031,27.6
05033,11.5
05035,5.3
05037,0
05039,30
05041,2.1
05043,4.5
05045,14
05047,1.4
05049,0
05051,5.9
05053,1.5
05055,7.8
05057,2
05059,3
05061,11.8
05063,10.5
05065,17.7
05067,2.3
05069,14.5
05071,7.9
05073,50
05075,15.6
05077,0
05079,3.9
05081,0
05083,36.8
05085,11.9
05087,3.9
05089,19.3
05091,7.4
05093,23.9
05095,0
05097,16.2
05099,0
05101,4.8
05103,7.9
05105,14
05107,13.4
05109,11.4
05111,41
05113,10.5
05115,13.1
05117,0
05119,15.9
05121,0
05123,24.1
05125,10.2
05127,0
05129,43.9
05131,5.8
05133,2.7
05135,0
05137,0
05139,0.9
05141,2.3
05143,11.2
05145,17.7
05147,0
05149,3.8
06001,9.6
06003,31.6
06005,3.8
06007,7.8
06009,9
06011,3.5
06013,7.4
06015,1
06017,5.9
06019,5.2
06021,1.7
06023,6.2
06025,6.9
06027,5.4
06029,5.6
06031,4
06033,2.9
06035,4.2
06037,5.7
06039,4.5
06041,7.8
06043,6.1
06045,4.8
06047,3.7
06049,5.8
06051,12.3
06053,5.2
06055,4.4
06057,5.6
06059,6.3
06061,6.7
06063,4.5
06065,5
06067,7.6
06069,3.2
06071,4.4
06073,8.7
06075,10
06077,6.1
06079,7
06081,8.4
06083,8.3
06085,11.4
06087,6.4
06089,13.4
06091,0
06093,3.4
06095,6.5
06097,5.5
06099,5.6
06101,6
06103,3.7
06105,3.3
06107,3.8
06109,8.3
06111,5.9
06113,12.7
06115,6
08001,7.5
08003,4
08005,11.7
08007,13.1
08009,4.2
08011,1.5
08013,13.5
08014,10.5
08015,4.4
08017,5.6
08019,35.3
08021,3.4
08023,17.6
08025,5.1
08027,0
08029,7.9
08031,10.2
08033,0
08035,13.4
08037,8.7
08039,5.7
08041,10
08043,0.9
08045,3.5
08047,0
08049,5.7
08051,3
08053,0
08055,0
08057,0
08059,8.7
08061,0
08063,3.6
08065,4.3
08067,9.7
08069,14.5
08071,9.9
08073,4.3
08075,1.2
08077,5.7
08079,0
08081,8.2
08083,2.8
08085,5.4
08087,10.6
08089,4.6
08091,5.7
08093,10
08095,26
08097,19.1
08099,9.1
08101,5.9
08103,2
08105,4.1
08107,28.5
08109,5.4
08111,0
08113,18.1
08115,7.9
08117,5.5
08119,0
08121,3.2
08123,6.3
08125,34.4
09001,10.7
09003,10.8
09005,7.4
09007,9.5
09009,12.9
09011,8.4
09013,18.5
09015,10.2
10001,11.4
10003,14.2
10005,6.1
11001,17.3
12001,20.1
