geoid,rate
01001,35.9
01003,40
01005,54.1
01007,50.6
01009,46.1
01011,66.8
01013,58.4
01015,46.7
01017,48
01019,54.6
01021,49.2
01023,64.7
01025,61.6
01027,54.2
01029,56
01031,45.5
01033,46.5
01035,74.8
01037,54.7
01039,53.7
01041,56.6
01043,43.8
01045,43.9
01047,50.9
01049,50.4
01051,34
01053,61.2
01055,47.5
01057,60.6
01059,52.3
01061,56.2
01063,69.8
01065,54.5
01067,46.1
01069,40.8
01071,54.5
01073,35.2
01075,64
01077,45
01079,53.3
01081,36
01083,38.3
01085,56.1
01087,56.3
01089,31.3
01091,53.6
01093,58
01095,44.8
01097,38.2
01099,56.2
01101,31.8
01103,41.9
01105,64.5
01107,55.8
01109,48.8
01111,54.5
01113,36.8
01115,41.1
01117,27.9
01119,60.7
01121,49.6
01123,48.2
01125,34.6
01127,57.7
01129,60.4
01131,67.4
01133,59.2
02013,63.7
02016,44.1
02020,26.9
02050,63.6
02060,54.4
02068,54.4
02070,64.3
02090,31.1
02100,44.6
02105,65.8
02110,28.9
02122,41.4
02130,34.4
02150,36.1
02158,71.7
02164,77.3
02170,30.5
02180,57.4
02185,64.2
02188,64
02195,46.1
02198,66.3
02220,44.4
02230,34.5
02240,66.6
02261,54.1
02275,56.5
02282,50.7
02290,84.2
04001,73.9
04003,42.9
04005,43.8
04007,54.9
04009,43.9
04011,64.6
04012,75
04013,28.8
04015,46.8
04017,61.3
04019,35.9
04021,38.1
04023,32.7
04025,42.5
04027,42.2
05001,50.9
05003,58.6
05005,48.9
05007,31
05009,45.6
05011,56.9
05013,67.9
05015,50.7
05017,64.7
05019,55.3
05021,58.5
05023,51.4
05025,62.6
05027,54.8
05029,49.6
05031,36.3
05033,40.3
05035,34.6
05037,47.6
05039,60.2
05041,63.2
05043,54.7
05045,31.9
05047,49.4
05049,47.3
05051,45.4
05053,50.4
05055,45.5
05057,57.2
05059,51.9
05061,56.7
05063,44.9
05065,54.3
05067,53.9
05069,46.1
05071,50.9
05073,59.5
05075,56.7
05077,67.8
05079,61.5
05081,61.8
05083,53
05085,32
05087,56.1
05089,47.9
05091,52.5
05093,45
05095,61.1
05097,60.6
05099,59
05101,63.2
05103,58.9
05105,56.6
05107,57.9
05109,53.4
05111,57.7
05113,54.1
05115,42.3
05117,61.2
05119,33.9
05121,50.2
05123,50.5
05125,36.3
05127,51.1
05129,64.2
05131,38.9
05133,51.6
05135,49.5
05137,58.4
05139,55.4
05141,59.2
05143,33.1
05145,44.3
05147,61.9
05149,50.5
06001,24.8
06003,46.5
06005,39.9
06007,37.5
06009,35.2
06011,38.4
06013,24.7
06015,43.5
06017,28
06019,28.3
06021,37.5
06023,40.1
06025,32.4
06027,52.2
06029,28.9
06031,28.7
06033,45.4
06035,38.7
06037,25.6
06039,33.4
06041,28.1
06043,44.1
06045,45.5
06047,29.3
06049,50.2
06051,39.5
06053,30.8
06055,30.7
06057,34.8
06059,26.3
06061,26.2
06063,36.8
06065,27
06067,25.3
06069,22.9
06071,25.1
06073,26.1
06075,30.4
06077,27
06079,32.4
06081,27.3
06083,31.7
06085,26.9
06087,30.2
06089,37.3
06091,56.2
06093,48.4
06095,23.3
06097,29.4
06099,27.5
06101,31.1
06103,36.7
06105,51
06107,28.9
06109,42.6
06111,23.8
06113,28.4
06115,29
08001,22.6
08003,41.9
08005,22.3
08007,41.5
08009,59.2
08011,62
08013,27.7
08014,20.6
08015,43
08017,56.9
08019,28.1
08021,50.3
08023,65.3
08025,50.3
08027,41.4
08029,45.2
08031,24.1
08033,65.8
08035,15.6
08037,23.2
08039,17.8
08041,24.4
08043,44.2
08045,25.8
08047,29.2
08049,27.6
08051,34.7
08053,50.3
08055,46.9
08057,61.7
08059,25.4
08061,56.8
08063,59.6
08065,47.8
08067,35
08069,28.8
08071,44.2
08073,47.3
08075,44.9
08077,32.2
08079,53.5
08081,36.2
08083,51.4
08085,40.8
08087,44.4
08089,46
08091,41.9
08093,28.7
08095,47.6
08097,35.5
08099,46.4
08101,34.8
08103,47.1
08105,42.5
08107,32.5
08109,55.9
08111,45.6
08113,34.8
08115,56.6
08117,23.2
08119,27.7
08121,55.7
08123,24.4
08125,51
09001,28.4
09003,30.1
09005,30.4
09007,30.6
09009,30.6
09011,31.8
09013,30
09015,28.3
10001,32.9
10003,27.1
10005,40.7
11001,22.8
12001,40
12003,38.2
12005,40.6
12007,51
12009,40.1
12011,34.1
12013,59.5
12015,51.8
12017,52.2
12019,29.5
12021,49.5
12023,47
12027,56.5
12029,58.8
12031,30.5
12033,40.5
12035,44.5
12037,53.4
12039,49
12041,51.2
12043,67
12045,52.5
12047,59.8
12049,60.8
12051,53.3
12053,46.1
12055,60.1
12057,32.5
12059,54.7
12061,50.3
12063,52.4
12065,46.6
12067,56.4
12069,46.7
12071,46.9
12073,31.3
12075,54.9
12077,54.9
12079,59.2
12081,47.9
12083,48.3
12085,48.7
12086,35.1
12087,49.1
12089,40
12091,36.2
12093,54.6
12095,28
12097,30.4
12099,43.4
12101,45.1
12103,44
12105,45.7
12107,53.8
12109,31.4
12111,43.1
12113,31.9
12115,50.3
12117,24.6
12119,58
12121,54.1
12123,56.4
12125,45.2
12127,44
12129,38.3
12131,45.8
12133,55.1
13001,57.6
13003,60.9
13005,63.1
13007,53.5
13009,52
13011,42.3
13013,24.3
13015,31.3
13017,47.4
13019,50.2
13021,35.4
13023,50.4
13025,57.3
13027,43.2
13029,28.3
13031,39.3
13033,50.3
13035,36.4
13037,55.9
13039,32.1
13043,45.6
13045,33.4
13047,35.4
13049,53.5
13051,33.8
13053,59.2
