geoid,rate
01001,3.8
01003,3.2
01005,9.2
01007,6.9
01009,7
01011,11.9
01013,7.6
01015,5.8
01017,6.2
01019,7.7
01021,8.1
01023,8.1
01025,4.7
01027,10.6
01029,6.5
01031,5.5
01033,4.5
01035,7.4
01037,9
01039,7.5
01041,9.3
01043,6.4
01045,4.9
01047,6.2
01049,12.1
01051,3.8
01053,6.7
01055,6.3
01057,8.3
01059,11.1
01061,8.4
01063,7.8
01065,6.3
01067,7.1
01069,4.9
01071,8.1
01073,3.2
01075,8.8
01077,5
01079,7.5
01081,3.7
01083,6.4
01085,7.1
01087,6.2
01089,2.7
01091,5.5
01093,6.9
01095,9.7
01097,4.2
01099,6.5
01101,4.9
01103,6.1
01105,7.3
01107,6.6
01109,4.9
01111,10.5
01113,6.5
01115,5.2
01117,2.9
01119,8.4
01121,7.3
01123,5.5
01125,3.5
01127,7
01129,5.9
01131,7
01133,9.8
02013,10.4
02016,7.6
02020,3
02050,9.9
02060,4.2
02068,0.9
02070,7.8
02090,1.6
02100,1
02105,2.9
02110,1.6
02122,1.9
02130,2
02150,6.2
02158,8.8
02164,5.9
02170,1.9
02180,6
02185,3
02188,7.5
02195,1.7
02198,2.3
02220,2.5
02230,0.6
02240,2.1
02261,2.5
02275,3.4
02282,0.9
02290,8
04001,12
04003,6.3
04005,4.5
04007,4.6
04009,5.8
04011,5.2
04012,9.7
04013,6.3
04015,4.6
04017,7.5
04019,5.1
04021,5.8
04023,14.4
04025,3.3
04027,14.6
05001,6.6
05003,5.4
05005,4.3
05007,6.1
05009,5.3
05011,7
05013,5.2
05015,8.1
05017,7.7
05019,4.5
05021,10
05023,6
05025,5.5
05027,4.9
05029,4.7
05031,4.1
05033,6.2
05035,6.8
05037,6.3
05039,5.6
05041,7.6
05043,5.8
05045,2.8
05047,6.4
05049,4.8
05051,4
05053,3.5
05055,5.2
05057,8.5
05059,4.9
05061,9.4
05063,6.3
05065,6.9
05067,9.4
05069,4.9
05071,7.2
05073,6.2
05075,7.8
05077,10.1
05079,6.9
05081,3.4
05083,5.2
05085,3.6
05087,9.4
05089,3.3
05091,5.1
05093,7.8
05095,8
05097,8.2
05099,5.9
05101,5.4
05103,3.9
05105,5.7
05107,9.8
05109,6.8
05111,9.5
05113,5.3
05115,6.4
05117,5.6
05119,3.3
05121,7.9
05123,7.1
05125,3.2
05127,10
05129,6.1
05131,7.6
05133,14.4
05135,5.4
05137,8.5
05139,4.9
05141,6.4
05143,8.1
05145,5.7
05147,9.2
05149,11.7
06001,7.2
06003,1.3
06005,3.8
06007,4.5
06009,3
06011,20.7
06013,5.8
06015,6.8
06017,2.8
06019,15.5
06021,12.5
06023,3
06025,20
06027,5.4
06029,14.3
06031,13.5
06033,5.6
06035,4.8
06037,13.3
06039,17.8
06041,3.8
06043,2.3
06045,6.1
06047,20.4
06049,4.1
06051,9.2
06053,19.3
06055,10.4
06057,2
06059,8.8
06061,2.3
06063,3.1
06065,9.6
06067,6.7
06069,13.7
06071,9.8
06073,7.2
06075,8.1
06077,11.7
06079,4.5
06081,6.6
06083,12.5
06085,7.1
06087,9
06089,2.7
06091,2.4
06093,3.7
06095,5.9
06097,6.7
06099,12.5
06101,11.5
06103,7.1
06105,2.5
06107,20.8
06109,2.1
06111,9.9
06113,7.7
06115,8.1
08001,7.8
08003,7.1
08005,3.6
08007,3.4
08009,4.2
08011,10.4
08013,2.7
08014,2.1
08015,3.1
08017,5
08019,0.4
08021,8.1
08023,13.2
08025,7.6
08027,1.4
08029,3.5
08031,6.8
08033,3.2
08035,0.7
08037,6.1
08039,1.2
08041,2
08043,4.6
08045,5.8
08047,0.6
08049,1.4
08051,2
08053,0.6
08055,4.9
08057,4.7
08059,1.8
08061,2.3
08063,8.7
08065,1.5
08067,2.1
08069,1.6
08071,6.1
08073,8.6
08075,5.7
08077,3.1
08079,0.5
08081,3.2
08083,3.3
08085,5.9
08087,10.8
08089,7.1
08091,0.5
08093,1.7
08095,5.2
08097,1.8
08099,9.4
08101,4.3
08103,3.4
08105,8.6
08107,1.1
08109,11.1
08111,2.7
08113,1
08115,3.5
08117,3.6
08119,0.7
08121,3.2
08123,5.6
08125,7.5
09001,5.1
09003,4.7
09005,3
09007,2.2
09009,4.5
09011,2.9
09013,2.1
09015,4.1
10001,4.1
10003,3.4
10005,5.1
11001,4.3
12001,2.6
12003,5.5
12005,3.6
12007,6.8
12009,2.8
12011,5.2
12013,9
12015,3.1
12017,3.4
12019,3
12021,7.6
12023,4.1
12027,16.3
12029,6.5
12031,3.2
12033,3.1
12035,2.8
12037,6.3
12039,7.7
12041,5
12043,8.7
12045,6.2
12047,6.7
12049,20.5
12051,22.6
12053,3.5
12055,6.6
12057,4.9
12059,7.2
12061,4.1
12063,6.2
12065,5.4
12067,7.7
12069,4.1
12071,5.4
12073,2.2
12075,4.8
12077,7.6
12079,5.3
12081,5.1
12083,4.2
12085,4.5
12086,10.6
12087,4
12089,3.3
12091,2.9
12093,15.3
12095,4.9
12097,6.2
12099,5.9
12101,3.6
12103,3.1
12105,6.4
12107,7.6
12109,1.8
12111,5.7
12113,2.4
12115,2.3
12117,2.4
12119,3.1
12121,5.4
12123,5.6
12125,6.3
12127,3.3
12129,3.1
12131,3.9
12133,6.1
13001,9.2
13003,17
13005,7.5
13007,5.1
13009,4.8
13011,7.4
13013,6.7
13015,6.2
13017,5.3
13019,5
13021,4.7
13023,4.6
13025,4.6
13027,5.7
13029,3.3
13031,4.4
13033,7.3
13035,7
13037,9.5
13039,2.5
13043,8.7
13045,7.5
13047,3.8
13049,10.5
13051,3.4
13053,2
13055,11.7
13057,4.2
13059,5.4
13061,7.1
13063,7.1
13065,9.1
13067,4.2
13069,6.1
13071,12
13073,2.6
13075,7.4
13077,3.7
13079,7.6
13081,8
13083,6.7
13085,4.4
13087,7.9
13089,5.3
13091,4.8
13093,9.2
13095,5.7
13097,4.3
13099,9
13101,15.3
13103,3.1
13105,7.6
13107,7.2
13109,10.7
13111,7.5
13113,2.4
13115,8.5
13117,3.4
13119,9.5
13121,3.2
13123,9.4
13125,10.1
13127,3.5
13129,10.4
13131,8.6
13133,5.6
13135,6.2
13137,9.7
13139,11.6
13141,7.4
13143,8.2
13145,3.1
13147,5.4
13149,6.9
13151,3.2
13153,3.3
13155,3.5
13157,6.8
13159,6.9
13161,7.7
13163,9.2
13165,12.3
13167,6.6
13169,3.2
13171,4.4
13173,9.4
13175,6.6
13177,3.9
13179,3.3
13181,6.6
13183,4.3
13185,4.9
13187,4.7
13189,6.9
13191,7.4
13193,8.5
13195,6.1
13197,5.5
13199,8.5
13201,6.1
13205,7.6
13207,4.4
13209,7.7
13211,5
13213,11.6
13215,4.5
13217,4.5
13219,1.8
13221,7.3
13223,3.3
13225,5.9
13227,6
13229,6.2
13231,3.4
13233,9.9
13235,7.4
13237,6
13239,8
13241,4.8
13243,9.4
13245,5.4
13247,4.8
13249,6.1
13251,6.8
13253,5.5
13255,6.8
13257,5.6
13259,18.9
13261,8.6
13263,7.9
13265,12.5
13267,8.4
13269,9.8
13271,9.5
13273,9.2
13275,5.7
13277,7.4
13279,8.4
13281,5.6
13283,7.7
13285,5.9
13287,10
13289,10.6
13291,2.8
13293,6.9
13295,7.2
13297,3.4
13299,5.7
13301,13.3
13303,7.2
13305,7.5
13307,8.7
13309,6.2
13311,5.8
13313,15.3
13315,6.6
13317,7.1
13319,6.2
13321,6.9
15001,2.8
15003,4.4
15005,2.6
15007,4.7
15009,3.8
16001,1.8
16003,2.7
16005,2.1
16007,1.6
16009,4
16011,6.7
16013,6
16015,1.3
16017,2.2
16019,3.3
16021,6.2
16023,5.1
16025,6.7
16027,7.6
16029,3.6
16031,9.8
16033,23.2
16035,4.2
16037,3.9
16039,7.1
16041,2.7
16043,4.8
16045,5.5
16047,13
16049,4.1
16051,4.9
16053,14.8
16055,1.5
16057,1.3
16059,2
16061,4.2
16063,11.4
16065,1.8
16067,13.2
16069,2
16071,2.3
16073,13.3
16075,5
16077,13.2
16079,3.5
16081,4.8
16083,5.6
16085,4.3
16087,6.1
17001,2.6
17003,7.9
17005,4.7
17007,6.2
17009,3.6
17011,3.3
17013,3.5
17015,3.3
17017,5.5
17019,1.8
17021,3.1
17023,3.5
17025,4.8
17027,5.2
17029,3.5
17031,7.4
17033,3.7
17035,5.5
17037,3
17039,2.4
17041,11.5
17043,3.6
17045,4.2
17047,3.8
17049,3.6
17051,6.3
17053,3.7
17055,3.7
17057,3.9
17059,5.6
17061,4.4
17063,3.2
17065,7.4
17067,2.7
17069,6.2
17071,3.3
17073,3
17075,3.3
17077,3.5
17079,4.6
17081,5.3
