geoid,rate
01001,2.9
01003,2.4
01005,7.6
01007,6.8
01009,4.9
01011,11.9
01013,9.4
01015,6.4
01017,12.4
01019,4.6
01021,5.8
01023,3.9
01025,5.3
01027,10.4
01029,8.3
01031,3.5
01033,7.5
01035,11.7
01037,6.2
01039,9.5
01041,10
01043,5.4
01045,4.6
01047,8.3
01049,4.8
01051,4.6
01053,4.4
01055,11.5
01057,7.5
01059,3.9
01061,6.4
01063,5
01065,6.6
01067,8.1
01069,3.2
01071,4
01073,9.6
01075,5.8
01077,5.2
01079,4.6
01081,2.7
01083,4.5
01085,4.7
01087,8.3
01089,2.7
01091,7
01093,6.5
01095,4.1
01097,4.6
01099,4.4
01101,6.8
01103,4.3
01105,13.4
01107,7
01109,6.5
01111,9.9
01113,7
01115,2.9
01117,1.7
01119,4.8
01121,6.3
01123,7.3
01125,3.2
01127,5.8
01129,5.9
01131,6.6
01133,4.3
02013,2.1
02016,2.9
02020,0.4
02050,0.3
02060,5.5
02068,0.6
02070,1
02090,1.1
02100,4.9
02105,8.8
02110,6.5
02122,1
02130,10.8
02150,1.2
02158,0.3
02164,2.1
02170,0.6
02180,4.1
02185,2.5
02188,0.8
02195,14.8
02198,3
02220,4.4
02230,16.5
02240,1.4
02261,4.7
02275,12.9
02282,2.3
02290,1.9
04001,1.6
04003,7.9
04005,2.7
04007,6.5
04009,5.7
04011,13.3
04012,0.6
04013,1
04015,0.7
04017,3.3
04019,2.4
04021,1
04023,6
04025,2.9
04027,1.9
05001,7.3
05003,3.7
05005,3.5
05007,3.1
05009,9.6
05011,7.1
05013,8
05015,13.3
05017,5.9
05019,7.4
05021,7.5
05023,3.3
05025,5.9
05027,8.4
05029,7.4
05031,3.3
05033,3.9
05035,3.8
05037,5.5
05039,10.2
05041,7
05043,4.3
05045,2.6
05047,6.6
05049,7.3
05051,7.6
05053,2.7
05055,6.4
05057,9.6
05059,4.2
05061,7
05063,5.1
05065,7.2
05067,5.9
05069,6.6
05071,8.5
05073,9.9
05075,6.3
05077,7.3
05079,3.9
05081,4.4
05083,9.1
05085,2.1
05087,7.1
05089,5.4
05091,6.3
05093,4.5
05095,7.7
05097,8.1
05099,9.1
05101,11
05103,6.1
05105,4
05107,6.3
05109,6.4
05111,5.9
05113,6.1
05115,4.1
05117,9.5
05119,4.9
05121,5.5
05123,2.8
05125,1.8
05127,5.7
05129,9.7
05131,5.4
05133,5.2
05135,3.3
05137,2.9
05139,4.7
05141,5.2
05143,3.7
05145,3.9
05147,6.6
05149,6.2
06001,20.1
06003,4.7
06005,9.7
06007,7.4
06009,4.6
06011,13.4
06013,4.5
06015,6.3
06017,2.9
06019,6
06021,10.2
06023,15.3
06025,3.2
06027,7.6
06029,4.5
06031,7.1
06033,4.9
06035,11.4
06037,15.1
06039,3.9
06041,12.4
06043,8.9
06045,11
06047,5.1
06049,22.5
06051,4.3
06053,8
06055,8.2
06057,6.7
06059,2.5
06061,3.6
06063,9.1
06065,2.1
06067,4.8
06069,9.6
06071,3.8
06073,4.4
06075,48.2
06077,7.2
06079,5.1
06081,8.5
06083,7.9
06085,4.9
06087,12.1
06089,3.1
06091,24.4
06093,15.1
06095,6.6
06097,9.2
06099,5.7
06101,6.1
06103,8.3
06105,7.4
06107,5.7
06109,6.8
06111,3.4
06113,5.2
06115,5.4
08001,1.9
08003,12.9
08005,1.7
08007,3.6
08009,20.5
08011,33.3
08013,7.3
08014,0.9
