geoid,rate
01001,0.2
01003,0.2
01005,0.1
01007,0
01009,0
01011,0
01013,0.1
01015,0
01017,0
01019,0.1
01021,0.1
01023,0
01025,0
01027,0
01029,0.3
01031,0
01033,0.2
01035,0.3
01037,0
01039,0.1
01041,0.2
01043,0
01045,0.3
01047,0.1
01049,0
01051,0.1
01053,0.5
01055,0
01057,0.2
01059,0
01061,0
01063,0
01065,0
01067,0
01069,0.1
01071,0
01073,0.1
01075,0
01077,0.1
01079,0.5
01081,0.3
01083,0.3
01085,0
01087,0.1
01089,0.2
01091,0.3
01093,0
01095,0
01097,0.1
01099,0
01101,0
01103,0
01105,0
01107,0
01109,0
01111,0.2
01113,0.1
01115,0.1
01117,0.1
01119,0
01121,0
01123,0.2
01125,0.2
01127,0.1
01129,0
01131,0
01133,0
02013,0
02016,0.1
02020,0
02050,0
02060,0
02068,1.2
02070,0
02090,0.1
02100,0
02105,0.8
02110,0
02122,0.2
02130,0
02150,0
02158,0
02164,0.3
02170,0
02180,0.1
02185,0.4
02188,0
02195,0
02198,0.1
02220,0
02230,0
02240,0
02261,0
02275,0
02282,0.5
02290,0.1
04001,0.1
04003,0
04005,0.1
04007,0.2
04009,0
04011,0
04012,0.3
04013,0.1
04015,0.1
04017,0
04019,0.1
04021,0.1
04023,0
04025,0.2
04027,0.1
05001,0.1
05003,0.1
05005,0.1
05007,0.3
05009,0.1
05011,0.1
05013,0
05015,0.5
05017,0.1
05019,0
05021,0
05023,0.2
05025,0
05027,0
05029,0.3
05031,0.7
05033,0.2
05035,0
05037,0
05039,0
05041,0
05043,0.2
05045,0.2
05047,0
05049,0.5
05051,0
05053,0.3
05055,0
05057,0
05059,0.1
05061,0
05063,0.1
05065,0
05067,0.1
05069,0
05071,0
05073,0
05075,0
05077,0
05079,0
05081,0
05083,0
05085,0.1
05087,0.1
05089,0.3
05091,0
05093,0.1
05095,0
05097,0
05099,0.3
05101,0
05103,0
05105,0
05107,0
05109,0
05111,0
05113,0
05115,0.3
05117,0
05119,0.1
05121,0
05123,0.1
05125,0.2
05127,0
05129,0
05131,0.1
05133,0.2
05135,0
05137,0.4
05139,0.3
05141,0
05143,0.2
05145,0.3
05147,0
05149,0.5
06001,0
06003,0
06005,0
06007,0.1
06009,0.1
06011,0
06013,0.1
06015,0
06017,0.1
06019,0.2
06021,0
06023,0
06025,0.1
06027,0
06029,0.1
06031,0.2
06033,0
06035,0
06037,0
06039,0
06041,0
06043,0.1
06045,0.1
06047,0
06049,0
06051,0
06053,0.1
06055,0.1
06057,0.1
06059,0.1
06061,0.2
06063,0
06065,0.1
06067,0.1
06069,0
06071,0.1
06073,0.1
06075,0.1
06077,0.1
06079,0.1
06081,0.1
06083,0
06085,0.2
06087,0
06089,0
06091,0
06093,0
06095,0.1
06097,0.1
06099,0
06101,0
06103,0
06105,0
06107,0.1
06109,0
06111,0.1
06113,0.1
06115,0.2
08001,0.3
08003,0
08005,0.1
08007,0
08009,0
08011,0
08013,0.2
08014,1.3
08015,0
08017,0
08019,0
08021,0
08023,0
08025,0
08027,0.3
08029,0
08031,0.4
08033,0
08035,0.4
08037,0
08039,0.3
08041,0.2
08043,0
08045,0
08047,0
08049,0
08051,0
08053,0
08055,0
08057,0
08059,0.1
08061,0
08063,0
08065,0
08067,0.1
08069,0.1
08071,0
08073,0
08075,0
08077,0
08079,0
08081,0
08083,0
08085,0
08087,0
08089,0
08091,0
08093,0
08095,0.1
08097,0
08099,0.1
08101,0.1
08103,1.2
08105,0
08107,0.1
08109,0
08111,0
08113,0
08115,0
08117,0
08119,0.1
08121,0
08123,0.2
08125,0
09001,0.1
09003,0
09005,0
09007,0.1
09009,0
09011,0
09013,0
09015,0
10001,0.3
10003,0.1
10005,0.2
11001,0.1
12001,0.1
12003,0.1
12005,0.1
12007,0
12009,0.1
12011,0.1
12013,0.6
12015,0
12017,0.2
12019,0.2
12021,0.2
12023,0.1
12027,0.2
12029,0
12031,0.2
12033,0.1
12035,0.2
12037,0
12039,0.2
12041,0
12043,0
12045,1
12047,0
12049,0
12051,0
12053,0.2
12055,0
12057,0.2
12059,0.1
12061,0.1
12063,0
12065,0
12067,0
12069,0.2
12071,0.1
12073,0.1
12075,0
12077,0
12079,0.2
12081,0.3
12083,0
12085,0.1
12086,0
12087,0
12089,0.4
12091,0.2
12093,0
12095,0.2
12097,0.2
12099,0.1
12101,0.1
12103,0
12105,0.2
12107,0
12109,0.3
12111,0.1
12113,0.3
12115,0.1
12117,0.2
12119,0.9
12121,0
12123,0
12125,0.4
12127,0.1
12129,0.4
12131,0.2
12133,0.2
13001,0
13003,0
13005,0.1
13007,0
13009,0
13011,0
13013,0.3
13015,0.1
13017,0
13019,0
13021,0
13023,0
13025,0
13027,0
13029,0.1
13031,0.1
13033,0.1
13035,0
13037,0
13039,0
13043,0
13045,0
13047,0.1
13049,0.2
13051,0.1
13053,0
13055,0
13057,0.3
13059,0
13061,0
13063,0.1
13065,0
13067,0.1
13069,0.1
13071,0.5
13073,0.2
13075,0
13077,0.2
13079,0
13081,0
13083,0
13085,0
13087,0.2
13089,0.1
13091,0
13093,0
