geoid,rate
01001,3.8
01003,3
01005,1.8
01007,1.2
01009,1.2
01011,1.4
01013,0.7
01015,2.7
01017,2.1
01019,1.5
01021,1.3
01023,1.7
01025,0.9
01027,1.6
01029,1.9
01031,4.9
01033,1.2
01035,0.4
01037,0.3
01039,1.6
01041,2.2
01043,1.3
01045,7.1
01047,1.2
01049,1.4
01051,1.4
01053,1.2
01055,1.3
01057,0.6
01059,2.2
01061,1.7
01063,1.4
01065,0.4
01067,1.4
01069,2.5
01071,1.1
01073,2
01075,1.5
01077,2.1
01079,0.7
01081,5.1
01083,1.7
01085,0.8
01087,3.7
01089,3.2
01091,1
01093,1.4
01095,1.5
01097,1.8
01099,1
01101,3
01103,1.4
01105,2.2
01107,2.1
01109,2.1
01111,1.7
01113,6.8
01115,0.9
01117,2.5
01119,0.5
01121,1.7
01123,1.1
01125,3.6
01127,1.5
01129,0.4
01131,0.1
01133,1
02013,10.2
02016,7
02020,4.8
02050,1.2
02060,4.9
02068,8.1
02070,2.1
02090,8.9
02100,4.2
02105,1.6
02110,4.4
02122,3.7
02130,4.7
02150,5.2
02158,0.4
02164,0.7
02170,3.3
02180,2.2
02185,3.6
02188,2.4
02195,3.6
02198,4.8
02220,5.2
02230,7.5
02240,3.8
02261,5.7
02275,3.1
02282,6.4
02290,1.9
04001,1.5
04003,5.7
04005,4.8
04007,1.8
04009,3.4
04011,2.9
04012,2.2
04013,3.4
04015,7
04017,2.1
04019,3.4
04021,4.4
04023,1.4
04025,4.3
04027,4
05001,1.5
05003,1.4
05005,2.5
05007,3.3
05009,3.6
05011,0.7
05013,0.8
05015,2.9
05017,3
05019,3.1
05021,2.2
05023,3.1
05025,1
05027,2.2
05029,2.2
05031,2.3
05033,2.6
05035,3.2
05037,0.6
05039,3
05041,1.1
05043,1.4
05045,2.5
05047,1.5
05049,4.6
05051,3.5
05053,1.4
05055,1.8
05057,1.9
05059,1
05061,1.3
05063,2.2
05065,1.7
05067,0.8
05069,1.5
05071,1.3
05073,2.3
05075,1
05077,1.2
05079,1.2
05081,2.5
05083,1.3
05085,2.7
05087,1.4
05089,4.6
05091,5.9
05093,3.2
05095,1.7
05097,3.3
05099,1.1
05101,0.9
05103,1
05105,0.8
05107,1.9
05109,0.9
05111,1.2
05113,2.4
05115,1.5
05117,0.7
05119,2.3
05121,4.3
05123,3.6
05125,1.4
05127,1.7
05129,1.7
05131,3
05133,1.8
05135,1.1
05137,4.5
05139,2.2
05141,1.6
05143,4.1
05145,2.2
05147,0.7
05149,1.3
06001,1.5
06003,9.9
06005,0.7
06007,1.2
06009,1.1
06011,0.9
06013,1.2
06015,2.4
06017,1.2
06019,0.6
06021,0.4
06023,2.1
06025,1
06027,1.8
06029,1
06031,2.1
06033,1.5
06035,1.7
06037,1
06039,0.6
06041,1.6
06043,1.5
06045,2
06047,0.6
06049,4.9
06051,1.3
06053,2.2
06055,1.1
06057,1.7
06059,1.1
06061,1.4
06063,1.7
06065,1.2
06067,1.2
06069,0.5
06071,1.3
06073,2.2
06075,2.4
06077,1
06079,1.7
06081,1.2
06083,1.9
06085,1.6
06087,1
06089,2.4
06091,2.1
06093,1.9
06095,1.6
06097,1.2
06099,0.8
06101,0.7
06103,1.5
06105,2
06107,1.1
06109,1.1
06111,1.3
06113,1.4
06115,2.9
08001,2.1
08003,3.6
08005,3.5
08007,6.4
08009,2.4
08011,0.9
08013,5.1
08014,5
08015,2.5
08017,1.9
08019,2.8
08021,0.7
08023,2.3
08025,2.3
08027,0.9
08029,3
08031,4.3
08033,3.1
08035,3.9
08037,3.3
08039,3.9
08041,6.8
08043,3.3
08045,4.2
08047,5.7
08049,6.6
08051,5.3
08053,3.4
08055,4.1
08057,0.2
08059,2.9
08061,2.1
08063,2.6
08065,6.7
08067,6.9
08069,4.4
08071,2.9
08073,1.6
08075,1.7
08077,3.6
08079,1.4
08081,2.3
08083,6.2
08085,4.3
08087,2
08089,2.2
08091,6
08093,3.6
08095,1.1
08097,3.5
08099,2.5
08101,2.3
08103,6.7
08105,5
08107,3.9
08109,1.4
08111,3.7
08113,8.9
08115,6
08117,4.9
08119,4.2
08121,4.2
08123,3.2
08125,2.7
09001,2.7
09003,1.9
09005,1.2
09007,1.7
09009,1.8
09011,3.8
09013,2.7
09015,2
10001,3.9
10003,4.1
10005,3.7
11001,8.2
12001,2.8
12003,1.2
12005,4.5
12007,1.1
12009,3.5
12011,2
12013,0.9
12015,4.4
12017,2.5
12019,3
12021,3.8
12023,2.4
12027,1.8
12029,3.2
12031,3
12033,6.1
12035,3.5
12037,2.8
12039,0.8
12041,1.8
12043,2.1
12045,2.6
12047,0.7
12049,1.7
12051,2.3
12053,3.2
12055,3.3
12057,2.8
12059,2.5
12061,3.2
12063,1.5
12065,2
12067,0.6
12069,3.1
12071,4.1
12073,2.9
12075,2.4
12077,1.2
12079,1.4
12081,4.1
12083,3
12085,3.6
12086,1.1
12087,5.2
12089,3.3
12091,5.5
12093,2
12095,2.9
12097,2.4
12099,2.5
12101,2.6
12103,3
12105,2.5
12107,2.3
12109,3.9
12111,3.1
12113,5.7
12115,3.8
12117,2.2
12119,5.7
12121,1.7
12123,1.1
12125,0.7
12127,3.5
12129,1.9
12131,3.7
12133,0.8
13001,1
13003,1.6
13005,1.2
13007,0.4
13009,1.3
13011,0.4
13013,0.8
13015,1
13017,1
13019,1.7
13021,1.5
13023,0.8
13025,6.9
13027,1.9
13029,4.1
13031,1.5
13033,0.5
13035,1.1
13037,3
13039,6.8
13043,1.3
13045,1.7
13047,3.7
13049,4
13051,5
13053,35.9
13055,1.3
13057,2.7
13059,3.5
13061,6.9
13063,3
13065,1.8
13067,3.4
13069,1.2
13071,2.1
13073,4.2
13075,1.8
13077,2.5
13079,0.7
13081,0.6
13083,4.5
13085,0.7
13087,2.2
13089,3
13091,1
13093,0.3
13095,1.7
13097,2.5
13099,0.8
13101,0.4
13103,3
13105,1.6
13107,1.7
13109,1.9
13111,3.7
13113,2.4
13115,1.7
13117,2.7
13119,1
13121,3.3
13123,2.7
13125,0.1
13127,2.4
13129,1.9
13131,3.6
13133,1.2
13135,2.6
13137,1.2
13139,1.9
13141,0.8
13143,1.8
13145,1.2
13147,1.6
13149,1.9
13151,2.5
13153,2.7
13155,1.8
13157,1.1
13159,1.8
13161,0.1
13163,2.2
13165,0.9
13167,1
13169,0.3
13171,0.9
13173,1.7
13175,1
13177,2.9
13179,10.1
13181,1.5
13183,5.3
