geoid,rate
01001,13.5
01003,13
01005,9.6
01007,6.7
01009,9.9
01011,5.1
01013,9.3
01015,12
01017,9.2
01019,11.3
01021,9.9
01023,8.3
01025,7.2
01027,10.7
01029,6.8
01031,17.7
01033,9.5
01035,9.7
01037,9.4
01039,10.9
01041,8.6
01043,9.1
01045,18.3
01047,8.1
01049,7.7
01051,12
01053,9.1
01055,9.7
01057,9.3
01059,5.9
01061,10.7
01063,7
01065,7.2
01067,9.3
01069,11.5
01071,8.3
01073,8.3
01075,9.3
01077,8.9
01079,7.4
01081,8.6
01083,9.8
01085,5.9
01087,8.8
01089,12.4
01091,6.2
01093,8.7
01095,9.3
01097,9.8
01099,7
01101,10.9
01103,9.7
01105,7.9
01107,8.9
01109,7.9
01111,9.7
01113,14
01115,9.9
01117,8.6
01119,6
01121,9.3
01123,10.2
01125,6.7
01127,9.5
01129,6.7
01131,6.3
01133,8.2
02013,3.8
02016,6.5
02020,13.5
02050,6.4
02060,8.5
02068,11
02070,5.5
02090,16.4
02100,10.9
02105,11.4
02110,10.2
02122,13.4
02130,12.4
02150,9.5
02158,6.2
02164,5.8
02170,14.8
02180,9
02185,10
02188,6.2
02195,10.4
02198,11.2
02220,10.4
02230,9.4
02240,17.2
02261,11.7
02275,14.2
02282,12
02290,11.4
04001,6.9
04003,19.3
04005,7.6
04007,13.8
04009,8.9
04011,11.2
04012,15.2
04013,8.8
04015,15.4
04017,9.1
04019,11.4
04021,12
04023,6.3
04025,15.3
04027,10
05001,8.7
05003,8.2
05005,15.5
05007,9.1
05009,11.7
05011,8.1
05013,9.4
05015,12.1
05017,8.5
05019,9.4
05021,9.8
05023,14.1
05025,10.4
05027,7.9
05029,9.1
05031,7.6
05033,11.1
05035,9.2
05037,9
05039,9
05041,7.8
05043,6.5
05045,9
05047,11.6
05049,12.3
05051,12.5
05053,10.2
05055,10.6
05057,8.7
05059,10.6
05061,7.9
05063,8.6
05065,14
05067,8.5
05069,9.3
05071,9.2
05073,8
05075,9.9
05077,4.1
05079,7.3
05081,12.7
05083,10.7
05085,14.7
05087,8.5
05089,16.2
05091,10.2
05093,8.1
05095,10.1
05097,14.4
05099,10.4
05101,12.7
05103,9.5
05105,10.6
05107,7.5
05109,10.8
05111,8.1
05113,13.3
05115,8.9
05117,10.9
05119,10.3
05121,10.5
05123,8.5
05125,11.1
05127,10.8
05129,9.4
05131,9.3
05133,8.6
05135,13.7
05137,14.2
05139,8.1
05141,12.1
05143,6.9
05145,9.2
05147,10.7
05149,8.2
06001,4.7
06003,17.4
06005,13.8
06007,9.1
06009,13.1
06011,6.8
06013,6.4
06015,10.5
06017,10.7
06019,5.9
06021,6.9
06023,8.4
06025,4.8
06027,10.7
06029,6.7
06031,10.4
06033,11.9
06035,10.2
06037,4
06039,7.8
06041,6.9
06043,12.9
06045,10.1
06047,5.8
06049,12.1
06051,8.8
06053,6.3
06055,8
06057,11.8
06059,5.1
06061,10.1
06063,14.2
06065,7.7
06067,8.1
06069,6
06071,6.6
06073,9.7
06075,3.6
06077,6.4
06079,8.5
06081,4.9
06083,7.2
06085,4.3
06087,5.5
06089,12.1
06091,17.6
06093,12.9
06095,10.4
06097,7.8
06099,6.3
06101,9.6
06103,10.8
06105,15
06107,5.2
06109,11.8
06111,7.1
06113,5.6
06115,12.8
08001,8.2
08003,8.6
08005,9.2
08007,13.2
08009,12.2
08011,12.5
08013,6
08014,8.2
08015,12.9
08017,8.9
08019,11.3
08021,8.8
08023,16.9
08025,9.8
08027,20.4
08029,13.7
08031,6.3
08033,9.2
08035,8.7
08037,4.7
08039,13
08041,18.4
08043,14.3
08045,7.1
08047,12.6
08049,11.2
08051,6.5
08053,15.8
08055,15.3
08057,12.6
08059,9.3
08061,6.5
08063,9.2
08065,9.5
08067,8.9
08069,8.8
08071,10.9
08073,9.2
08075,9.8
08077,11.6
08079,14.2
08081,10.6
08083,10.3
08085,11.1
08087,7.4
08089,10.6
08091,12.3
08093,14.1
08095,11
08097,5.4
08099,10.9
08101,12
08103,10.6
08105,10
08107,7.2
08109,10.8
08111,8.7
08113,6.7
08115,12.8
08117,5.6
08119,17.4
08121,10
08123,8.4
08125,8.8
09001,5.3
09003,6.9
09005,8.7
09007,8.9
09009,6.7
09011,11.6
09013,7.6
09015,9.3
10001,15
10003,7.6
10005,11.8
11001,5.4
12001,7.8
12003,9.9
12005,16.8
12007,11.2
12009,14.9
12011,6
12013,12
12015,16.1
12017,16.9
12019,17.2
12021,10.5
12023,15
12027,8.3
12029,13.7
12031,12.3
12033,14.8
12035,13.4
12037,11.3
12039,9.7
12041,12.9
12043,9.8
12045,10.4
12047,10
12049,7
12051,5.8
12053,14.3
12055,15.2
12057,9.3
12059,11.1
12061,13.1
12063,12
12065,12.6
12067,7.5
12069,13.3
12071,11.5
12073,7.3
12075,14.3
12077,10
12079,9.5
12081,12
12083,13.7
12085,12.6
12086,2.7
12087,11.8
12089,14.5
12091,22.3
12093,8.7
12095,6.7
12097,7.2
12099,8.3
12101,12.6
12103,11.8
12105,10.4
12107,12.6
12109,12.1
12111,10.9
12113,18.3
12115,13.6
12117,8.8
12119,19
12121,12.5
12123,11.1
12125,14.7
12127,12.8
12129,12
12131,13.5
12133,11.3
13001,7.7
13003,6.5
13005,6.6
13007,6.8
13009,7.9
13011,9.5
13013,9
13015,9.2
13017,7
13019,9.6
13021,9
13023,8.2
13025,9
13027,13.2
13029,15.6
13031,7.1
13033,8.9
13035,8.2
13037,6.1
13039,21.2
13043,10.7
13045,8.2
13047,9.1
13049,9.3
13051,11.5
13053,17.6
13055,7.6
13057,8.8
13059,5
13061,9.1
13063,8.7
13065,9.4
13067,8.1
13069,6.6
13071,6.8
13073,14.3
13075,8.3
13077,10.1
13079,9.8
13081,9.5
13083,10.1
13085,8.6
13087,6.7
13089,7.3
13091,7
13093,9.1
13095,9.6
13097,10.3
13099,8.4
13101,7.2
13103,12.1
13105,10.1
13107,8.3
13109,9.9
13111,11
13113,13.1
13115,9.9
13117,7.5
13119,7.2
13121,6
13123,10.4
13125,5.3
13127,11.2
13129,8
13131,9.1
13133,10.7
13135,6.1
13137,9.2
13139,7.9
13141,6.4
13143,8.3
13145,13.8
13147,9.6
13149,9.9
13151,11.7
13153,16.9
13155,10.3
13157,9.9
13159,8.2
13161,7.1
13163,8.6
13165,8.6
13167,6.7
13169,9.3
13171,11.1
13173,12.5
13175,9.4
13177,10.8
13179,24.8
13181,11.4
13183,15.5
13185,11.7
13187,9.6
13189,8.8
13191,14.5
13193,7.7
13195,8.3
13197,13.5
13199,7.1
13201,6.5
13205,8.8
13207,10.1
13209,5.3
13211,8.9
13213,6.3
13215,15.3
13217,10.5
13219,8.5
13221,9.1
13223,9.6
13225,10.7
13227,12.2
13229,9.1
13231,10.1
13233,9.2
13235,10.1
13237,10.1
13239,11.8
13241,9.9
13243,6.6
13245,13.9
13247,9.8
13249,8.9
13251,9.3
13253,9.7
13255,10.1
13257,8.4
13259,6.6
13261,8.4
13263,10.3
13265,7.2
13267,9.3
13269,8.2
13271,7.6
13273,6.4
13275,9.9
13277,6.3
13279,8.2
13281,12.7
13283,6.8
13285,9.1
13287,6.8
13289,7.4
13291,13.5
13293,8.9
13295,9.5
13297,8.4
13299,9
13301,5.5
13303,7.5
13305,11.2
13307,5.3
13309,7.4
13311,8.9
13313,5.9
13315,7.1
13317,8.9
13319,7.4
13321,9.6
15001,10.3
15003,11.1
15005,8.9
15007,8.5
15009,7.6
16001,9.6
16003,17.5
16005,8.4
16007,8.9
16009,14.7
16011,8.2
16013,8.4
16015,15
16017,14.5
16019,8.7
16021,14.8
16023,13.1
16025,15.9
16027,9.4
16029,8.3
16031,7.7
16033,3.6
16035,16.3
16037,14
16039,26.9
16041,6.2
16043,8.9
16045,13.9
16047,10.7
16049,14.4
16051,8.1
16053,9
16055,11.7
16057,7
16059,14.5
16061,14.7
16063,8.5
16065,3.4
16067,8
16069,11.7
16071,11.2
16073,9.7
16075,11.7
16077,8.6
16079,14.3
16081,4.3
16083,9.4
16085,12.5
16087,12
17001,10.2
17003,9.9
17005,9.9
17007,8.4
17009,8
17011,10.1
17013,10.8
17015,11.3
17017,10.3
17019,6.2
17021,10.7
17023,11.7
17025,8.4
17027,11.3
17029,7.8
17031,4.7
17033,10
17035,10.6
17037,6.8
17039,11.7
17041,9.3
17043,5.4
17045,10
17047,9.8
17049,8.9
17051,9.4
17053,9.3
17055,11
17057,11
17059,10.8
17061,10.7
17063,9.1
17065,9.1
17067,10.7
17069,10.6
17071,12.5
17073,10.4
17075,9.7
17077,7.4
17079,9.2
17081,10.4
17083,12.6
17085,11.2
17087,11.9
17089,6.1
17091,9.3
17093,6.4
17095,10.6
17097,6.4
17099,9.7
17101,8.3
17103,9.6
17105,9
17107,8.4
17109,8.6
17111,6.9
17113,7
17115,10.4
17117,11.2
17119,10.6
17121,10.6
17123,10.3
17125,10.8
17127,10.2
17129,11.2
17131,11.5
17133,10.5
17135,11.6
17137,10.8
17139,8.8
17141,10.1
17143,8.4
17145,10.2
17147,10.1
17149,8.2
17151,11.7
17153,11.7
17155,10
17157,10.9
17159,10.2
17161,9.7
17163,14
17165,9.8
17167,9.5
17169,12.3
17171,10.6
17173,13
17175,11.6
17177,10.1
17179,9.4
17181,10.8
17183,10.8
17185,11.1
17187,9.1
17189,10.7
17191,9.8
17193,10.3
17195,10.8
17197,6.6
17199,10.9
17201,8.9
17203,9.4
18001,7.1
18003,8.1
18005,8.1
18007,8.6
18009,10.2
18011,7.4
18013,14.3
18015,10.7
18017,10
18019,10.4
18021,8.6
18023,7.6
18025,10.2
18027,8.4
18029,9.3
18031,8.9
18033,9
18035,7.7
18037,8.8
18039,7.2
18041,10.7
18043,10.2
18045,9
18047,7.8
18049,9.8
18051,9.1
18053,9.6
18055,10.1
18057,6.7
18059,10.2
18061,10.1
18063,9.2
18065,10.3
18067,11.4
18069,9.2
18071,7.6
18073,9
18075,8.8
18077,11
18079,10.2
18081,9
18083,8.7
18085,8
18087,5.9
18089,8.3
18091,9.5
18093,11.1
18095,9.9
18097,7.8
18099,7.9
18101,11.2
18103,11.3
18105,5.9
18107,8.8
18109,10.6
18111,8.3
18113,8.5
18115,11.3
18117,8.3
18119,11.5
18121,10.6
18123,8.8
18125,9.8
18127,8.9
18129,9.7
18131,9.4
18133,8.8
18135,9.5
18137,10.9
18139,8.8
18141,7.7
18143,9
18145,9.5
18147,10.6
18149,10.1
18151,9.2
18153,9
18155,12.6
18157,6.1
18159,11.8
18161,10.8
18163,8.7
18165,12
18167,9.1
18169,8.7
18171,9.9
18173,9.2
18175,10.3
18177,10.7
18179,8.4
18181,10.3
18183,10.1
19001,10.8
19003,8.4
19005,10.1
19007,9.5
19009,9.9
19011,10
19013,8
19015,10.7
19017,8.7
19019,9.2
19021,7.1
19023,8.7
19025,10.7
19027,9
19029,10
19031,10.9
19033,11
19035,11.2
19037,11.9
19039,9.9
19041,9.8
19043,10.2
19045,11.3
19047,8
19049,7.5
19051,9.1
19053,8.2
19055,7
19057,10.3
19059,11.1
19061,9.3
19063,8.8
19065,10.2
19067,11.6
19069,8.5
19071,11.7
19073,10.6
19075,8.5
19077,11.1
19079,9.3
19081,10
19083,9.7
19085,9.6
19087,8.3
19089,9.2
19091,11.8
19093,10.9
19095,9.4
19097,10.9
19099,9.4
19101,8.5
19103,5.1
19105,11.5
19107,9.7
19109,11.1
19111,12.2
19113,9.7
19115,8.9
19117,9.6
19119,8.3
19121,10.3
19123,8.2
19125,8.2
19127,9.9
19129,11.2
19131,9.6
19133,11.6
19135,8.8
19137,11
19139,7.9
19141,10.2
19143,9.4
19145,10.5
19147,9.5
19149,10.1
19151,11.5
19153,7.7
19155,10.3
19157,7.5
19159,8.6
19161,11.5
19163,9.5
19165,9.8
19167,6.6
19169,5.7
19171,9.8
19173,9.2
19175,10.6
19177,10.3
19179,9.5
19181,10.1
19183,8.6
19185,10.6
19187,10.1
19189,9
19191,8.1
19193,8.5
19195,11.4
19197,8.9
20001,11.5
20003,10.3
20005,8.7
20007,9.8
20009,9.4
20011,9
20013,11.5
20015,10.4
20017,10.2
20019,11.3
20021,8.9
20023,12.5
20025,10.1
20027,13.8
20029,10.2
20031,10.3
20033,9.2
20035,10.1
20037,8.6
20039,11.3
20041,13.7
20043,10
20045,5.9
20047,8.3
20049,13.3
20051,7.3
20053,11.1
20055,4.7
20057,6.1
20059,8.9
20061,22.1
