geoid,rate
01001,5.7
01003,32.1
01005,8.7
01007,3.3
01009,8.2
01011,1.3
01013,4.7
01015,4
01017,10.7
01019,8.3
01021,9.1
01023,0
01025,2
01027,6.1
01029,4.6
01031,11.4
01033,8.7
01035,1.5
01037,10.4
01039,10.1
01041,5.2
01043,6.2
01045,9.1
01047,5.1
01049,16.5
01051,6.4
01053,4.6
01055,6.3
01057,1.4
01059,6.1
01061,5.4
01063,7.3
01065,2.2
01067,8.2
01069,8.9
01071,16
01073,8.2
01075,1.8
01077,8.2
01079,1.3
01081,5.2
01083,7.8
01085,4.9
01087,11.5
01089,8.4
01091,2.8
01093,6.6
01095,5.5
01097,12.2
01099,2.8
01101,6.9
01103,4.7
01105,2.7
01107,4.5
01109,10.2
01111,4.3
01113,11.8
01115,5.3
01117,7.7
01119,6
01121,5.9
01123,4.7
01125,6.8
01127,1
01129,0
01131,0.9
01133,3.8
02013,6.4
02016,6.9
02020,4.7
02050,4.7
02060,17.8
02068,6.3
02070,7.3
02090,8
02100,5.9
02105,11.7
02110,4.4
02122,9.1
02130,8.5
02150,2
02158,2.5
02164,14.6
02170,5.6
02180,4
02185,9.2
02188,4.1
02195,6
02198,11
02220,6.1
02230,8.2
02240,21.2
02261,16.2
02275,8.1
02282,9.1
02290,11.5
04001,8.7
04003,15.9
04005,6.2
04007,5.6
04009,6.6
04011,9.5
04012,9.4
04013,8.7
04015,9.5
04017,5.8
04019,8.5
04021,8.1
04023,8.8
04025,5.5
04027,8.6
05001,11.7
05003,15.6
05005,8.6
05007,3.9
05009,3.6
05011,10.4
05013,9.5
05015,10.8
05017,11.6
05019,7.9
05021,9.5
05023,6
05025,1
05027,5.6
05029,9.6
05031,7.1
05033,10.1
05035,12.5
05037,12.1
05039,6.9
05041,6
05043,7.5
05045,11.9
05047,5.5
05049,10.1
05051,11.3
05053,3.3
05055,1.7
05057,15.5
05059,4.4
05061,7.8
05063,6.4
05065,12
05067,8.8
05069,9.7
05071,3.8
05073,14
05075,4.6
05077,3.3
05079,3.6
05081,16.4
05083,7.7
05085,6.4
05087,4.9
05089,11.8
05091,8.8
05093,9.6
05095,4.9
05097,5.3
05099,6
05101,5.4
05103,6.6
05105,11.5
05107,4.8
05109,6.5
05111,8.5
05113,6.2
05115,10.9
05117,4.7
05119,15.8
05121,3.6
05123,5
05125,5.5
05127,7
05129,7.4
05131,9.8
05133,4.2
05135,16.1
05137,0
05139,8.8
05141,7.5
05143,6.3
05145,10.4
05147,11.5
05149,4.6
06001,3.2
06003,33.3
06005,11.3
06007,5.6
06009,12
06011,4.4
06013,3.5
06015,2.8
06017,8.2
06019,5.2
06021,3.1
06023,4.2
06025,4
06027,2.1
06029,5.6
06031,4.2
06033,6.2
06035,8.3
06037,3.7
06039,4.6
06041,2.7
06043,12.8
06045,3.4
06047,4.6
06049,2.5
06051,36.5
06053,4.2
06055,5.6
06057,3.7
06059,3.5
06061,5.6
06063,11.8
06065,6.4
06067,5.6
06069,1.8
06071,5.8
06073,4.1
06075,2.6
06077,5.4
06079,2.7
06081,2.5
06083,3.2
06085,2.7
06087,2
06089,4.3
06091,0
06093,3.9
06095,5.6
06097,3.7
06099,4.7
06101,5
06103,4.7
06105,5.7
06107,3.7
06109,7.7
06111,3.3
06113,2.3
06115,7.7
